lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
0.0444444444 0.0 3.0 0.0 0.170375 40.864868954569985 0 22.700000000000003 32.2 33.7 34.8 35.7 36.6 37.3 38.0 38.7 39.400000000000006 40.1 40.8 41.6 42.400000000000006 43.3 44.2 45.400000000000006 46.7 48.5 51.5 58.2 67.6 76.80000000000001 86.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0888888888 0.0 4.0 0.0 0.34075 41.373126203992925 0 23.1 32.3 33.900000000000006 35.0 35.900000000000006 36.8 37.6 38.3 39.0 39.8 40.5 41.3 42.0 42.900000000000006 43.8 44.900000000000006 46.1 47.5 49.6 52.9 60.5 71.30000000000001 82.30000000000001 92.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.1333333332 0.0 5.0 0.0 0.5111249999999999 41.73061179365343 0 22.900000000000002 32.400000000000006 34.0 35.2 36.1 37.0 37.8 38.5 39.3 40.0 40.8 41.6 42.400000000000006 43.3 44.2 45.3 46.6 48.1 50.2 53.7 61.6 73.0 85.4 97.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.1777777776 0.0 6.0 0.0 0.6815 42.0191266283937 0 22.5 32.5 34.1 35.3 36.3 37.1 37.900000000000006 38.7 39.5 40.2 41.0 41.8 42.7 43.6 44.6 45.7 47.0 48.6 50.800000000000004 54.4 62.800000000000004 74.6 86.0 96.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.222222222 0.0 7.0 0.0 0.851875 42.14570391852151 0 22.8 32.6 34.2 35.400000000000006 36.3 37.2 38.0 38.8 39.6 40.400000000000006 41.1 41.900000000000006 42.8 43.7 44.7 45.8 47.1 48.8 51.0 54.6 62.800000000000004 74.7 87.9 99.80000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2666666664 0.0 8.0 0.0 1.02225 42.340441133233604 0 23.1 32.6 34.3 35.5 36.5 37.3 38.2 39.0 39.8 40.5 41.3 42.1 43.0 43.900000000000006 44.900000000000006 46.1 47.400000000000006 49.1 51.300000000000004 55.0 63.2 74.4 84.69999999999999 93.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3111111108 0.0 10.0 0.0 1.192625 41.17504244696687 0 23.5 32.400000000000006 33.900000000000006 35.0 36.0 36.8 37.6 38.3 39.0 39.8 40.5 41.2 42.0 42.8 43.7 44.7 45.8 47.2 49.0 51.800000000000004 57.9 66.1 74.1 85.30000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3555555552 0.0 11.0 0.0 1.363 41.27492381427179 0 21.900000000000002 32.400000000000006 33.900000000000006 35.1 36.0 36.900000000000006 37.7 38.400000000000006 39.1 39.8 40.6 41.3 42.1 42.900000000000006 43.8 44.8 45.900000000000006 47.3 49.2 52.1 58.2 66.5 74.80000000000001 84.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3999999996 0.0 12.0 0.0 1.5333750000000002 41.320131302096 0 23.0 32.400000000000006 34.0 35.1 36.1 36.900000000000006 37.7 38.400000000000006 39.2 39.900000000000006 40.6 41.400000000000006 42.1 43.0 43.900000000000006 44.900000000000006 46.0 47.400000000000006 49.2 52.1 58.2 66.30000000000001 73.5 82.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.444444444 0.0 13.0 0.0 1.70375 41.38916538247852 0 23.3 32.400000000000006 34.0 35.2 36.1 37.0 37.7 38.5 39.2 39.900000000000006 40.7 41.400000000000006 42.2 43.0 43.900000000000006 44.900000000000006 46.1 47.5 49.3 52.2 58.4 66.5 74.0 81.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.4888888884 0.0 14.0 0.0 1.874125 41.488400856880006 0 22.3 32.5 34.1 35.2 36.2 37.0 37.8 38.6 39.3 40.0 40.8 41.5 42.3 43.1 44.0 45.1 46.2 47.6 49.5 52.4 58.6 66.7 74.30000000000001 81.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.5333333328 0.0 15.0 0.0 2.0445 41.47971519737422 0 22.900000000000002 32.5 34.1 35.2 36.2 37.0 37.8 38.6 39.3 40.0 40.8 41.5 42.3 43.1 44.0 45.1 46.2 47.6 49.400000000000006 52.4 58.5 66.5 74.30000000000001 81.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.5777777772 0.0 16.0 0.0 2.214875 41.48771903136346 0 23.5 32.5 34.1 35.2 36.2 37.0 37.8 38.6 39.3 40.0 40.8 41.5 42.3 43.2 44.1 45.1 46.2 47.6 49.5 52.4 58.5 66.7 74.1 81.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.6222222216 0.0 17.0 0.0 2.38525 41.523453411735396 0 23.1 32.5 34.1 35.3 36.2 37.1 37.900000000000006 38.6 39.3 40.1 40.8 41.6 42.400000000000006 43.2 44.1 45.1 46.3 47.6 49.5 52.4 58.5 66.2 73.1 78.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.666666666 0.0 18.0 0.0 2.555625 41.54718270898222 0 22.6 32.5 34.1 35.3 36.2 37.1 37.900000000000006 38.6 39.400000000000006 40.1 40.8 41.6 42.400000000000006 43.2 44.1 45.1 46.3 47.7 49.5 52.4 58.6 66.80000000000001 74.6 83.30000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.7111111104 0.0 19.0 0.0 2.726 41.597759771041495 0 23.3 32.6 34.2 35.3 36.3 37.1 37.900000000000006 38.7 39.400000000000006 40.1 40.900000000000006 41.6 42.400000000000006 43.3 44.2 45.2 46.400000000000006 47.7 49.6 52.5 58.6 66.30000000000001 73.5 80.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.7555555548 0.0 20.0 0.0 2.896375 41.67285647643192 0 22.6 32.6 34.2 35.3 36.3 37.2 38.0 38.7 39.5 40.2 41.0 41.7 42.5 43.400000000000006 44.3 45.3 46.5 47.900000000000006 49.7 52.7 58.9 67.0 73.9 79.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
